artist.name,track.name,album.name,album.type,popularity,type,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
EXO,Tempo,DON’T MESS UP MY TEMPO – The 5th Album,album,64,boy group,0.686,0.842,0,-4.423,0.1,0.237,0,0.0683,0.519,115.944,4,C,major,C major
Red Velvet,Power Up,Summer Magic - Summer Mini Album,album,64,girl group,0.732,0.934,8,-4.618,0.144,0.0774,0.00745,0.306,0.898,159.998,4,G#,major,G# major
MOMOLAND,BAAM,Fun to The World,single,64,girl group,0.725,0.94,5,-2.32,0.0435,0.115,0.00431,0.0864,0.905,127.051,4,F,minor,F minor
SUNMI,LALALAY 날라리,LALALAY 날라리,single,63,female solo,0.7,0.806,11,-4.818,0.0491,0.00132,0,0.0579,0.616,110.016,4,B,minor,B minor
Red Velvet,Zimzalabim,‘The ReVe Festival’ Day 1,single,61,girl group,0.68,0.878,5,-4.791,0.179,0.0028,2.22e-5,0.336,0.531,127.991,4,F,minor,F minor
BTS,All Night (BTS World Original Soundtrack) [Pt. 3],All Night (BTS World Original Soundtrack) [Pt. 3],single,61,boy group,0.725,0.706,5,-4.766,0.121,0.193,0,0.109,0.667,120.042,4,F,major,F major
TAEMIN,WANT,WANT - The 2nd Mini Album,album,61,male solo,0.64,0.757,7,-5.532,0.0689,0.0261,0,0.127,0.413,104.943,4,G,major,G major
EXID,I Love You,I Love You,single,61,girl group,0.695,0.832,9,-3.455,0.0288,3.71e-4,4.83e-4,0.469,0.249,111.997,4,A,minor,A minor
Monsta X,Shoot Out,Take.1 Are You There?,album,61,boy group,0.613,0.868,6,-2.792,0.143,0.0599,0,0.352,0.394,165.133,4,F#,minor,F# minor
SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],single,76,male solo,0.737,0.747,10,-4.818,0.0323,0.269,0,0.219,0.447,105.943,4,A#,major,A# major
j-hope,Chicken Noodle Soup (feat. Becky G),Chicken Noodle Soup (feat. Becky G),single,73,male solo,0.826,0.817,2,-4.081,0.0921,0.00502,1.09e-5,0.294,0.168,97.053,4,D,major,D major
IU,Blueming,Love poem,single,71,female solo,0.819,0.674,0,-3.145,0.0587,0.0849,0,0.0667,0.682,106.032,4,C,major,C major
RM,seoul (prod. HONNE),mono.,album,71,male solo,0.587,0.664,0,-8.63,0.0645,0.344,2.47e-5,0.324,0.453,99.8,4,C,major,C major
EXO,Obsession,OBSESSION - The 6th Album,album,70,boy group,0.704,0.729,7,-3.851,0.0624,0.0024,0,0.218,0.71,129.992,4,G,major,G major
MAMAMOO,gogobebe,White Wind,single,70,girl group,0.704,0.787,0,-3.114,0.082,0.114,0,0.228,0.707,96.929,4,C,major,C major
TOMORROW X TOGETHER,CROWN,The Dream Chapter: STAR,single,70,boy group,0.622,0.8,5,-5.819,0.0425,0.0505,0,0.0619,0.58,110.977,4,F,major,F major
ITZY,ICY,IT'z ICY,single,70,girl group,0.801,0.904,2,-2.819,0.0834,0.0324,3.1e-5,0.182,0.814,124.979,4,D,major,D major
