,artist.name,track.name,album.name,album.type,popularity,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
47,Harry Styles,Lights Up,Lights Up,single,12,pop,0.585,0.62,3,-8.09,0.0327,0.0426,0.00224,0.15,0.281,101.939,4,D#,minor,D# minor
48,YG,Go Loko,Go Loko,single,11,pop,0.88,0.67,2,-5.188,0.0429,0.299,5.08E-06,0.0677,0.142,100.995,4,D,major,D major
49,The Chainsmokers,Who Do You Love,World War Joy...Takeaway,single,8,pop,0.51,0.835,3,-4.673,0.0447,0.00791,0,0.219,0.435,140.024,4,D#,major,D# major
50,Ali Gatie,It's You,It's You,single,8,pop,0.732,0.463,11,-6.972,0.0287,0.374,0,0.194,0.397,95.971,4,B,minor,B minor
51,DaniLeigh,Easy - Remix,Easy (Remix),single,77,rnb,0.799,0.301,7,-11.361,0.185,0.195,0,0.0816,0.511,100.026,4,G,major,G major
52,Quality Control,"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Quality Control: Control The Streets Volume 2,album,76,rnb,0.76,0.755,6,-4.735,0.19,0.0163,2.95E-06,0.0909,0.517,101.993,4,F#,minor,F# minor
53,Summer Walker,Come Thru (with Usher),Over It,album,75,rnb,0.679,0.728,5,-3.092,0.154,0.159,0,0.107,0.46,152.001,4,F,minor,F minor
54,H.E.R.,Could've Been (feat. Bryson Tiller),I Used To Know Her,album,74,rnb,0.455,0.352,1,-11.733,0.25,0.654,3.72E-06,0.249,0.407,103.342,4,C#,minor,C# minor
55,Jorja Smith,Be Honest (feat. Burna Boy),Be Honest (feat. Burna Boy),single,74,rnb,0.757,0.737,4,-6.728,0.114,0.311,0,0.113,0.635,98.057,4,E,minor,E minor
56,YK Osiris,Worth It,The Golden Child,album,72,rnb,0.749,0.535,5,-4.054,0.0638,0.517,0,0.0942,0.459,124.008,5,F,minor,F minor
57,Wale,On Chill (feat. Jeremih),Wow... That's Crazy,album,72,rnb,0.597,0.733,1,-6.017,0.41,0.134,0,0.159,0.639,171.016,4,C#,major,C# major
58,Jacquees,You,4275 (Bonus Version),album,71,rnb,0.735,0.453,8,-8.264,0.0602,0.413,0,0.104,0.335,115.002,4,G#,minor,G# minor
59,Chris Brown,Heat (feat. Gunna),Indigo,album,71,rnb,0.62,0.613,0,-5.83,0.0795,0.0607,0,0.117,0.483,82.43,4,C,major,C major
60,SiR,Hair Down (feat. Kendrick Lamar),Chasing Summer,album,70,rnb,0.793,0.49,8,-10.984,0.285,0.25,1.00E-04,0.432,0.468,120.099,4,G#,minor,G# minor
61,Bryson Tiller,Blame,Blame,single,70,rnb,0.73,0.38,11,-8.558,0.0988,0.0319,4.93E-05,0.12,0.323,114.973,4,B,minor,B minor
62,Snoh Aalegra,I Want You Around,#NAME?,album,70,rnb,0.705,0.433,4,-9.706,0.204,0.388,0.134,0.0841,0.602,168.006,4,E,major,E major
63,Mahalia,What You Did (feat. Ella Mai),LOVE AND COMPROMISE,album,70,rnb,0.734,0.511,0,-4.905,0.0592,0.148,0,0.29,0.727,124.995,4,C,minor,C minor
64,Blue Ivy,BROWN SKIN GIRL,The Lion King: The Gift,album,69,rnb,0.603,0.602,6,-7.083,0.23,0.049,0,0.279,0.595,119.703,5,F#,major,F# major
65,Ari Lennox,Shea Butter Baby (with J. Cole),Shea Butter Baby,album,68,rnb,0.709,0.49,4,-7.457,0.0757,0.11,0.00345,0.12,0.0397,155.069,4,E,minor,E minor
66,Ella Mai,Shot Clock,Ella Mai,album,68,rnb,0.512,0.512,4,-6.008,0.285,0.654,0,0.148,0.434,95.11,1,E,minor,E minor
67,Anderson .Paak,Make It Better (feat. Smokey Robinson),Ventura,album,68,rnb,0.676,0.56,4,-6.024,0.0643,0.0112,0.00403,0.137,0.551,178.555,4,E,minor,E minor
68,Ty Dolla $ign,Purple Emoji (feat. J. Cole),Purple Emoji (feat. J Cole),single,67,rnb,0.707,0.543,8,-4.61,0.279,0.151,0,0.384,0.824,144.18,4,G#,major,G# major
