word,n
서로,12
서로의,12
세상을,12
숨을,12
시작해,12
아무도,12
어둠이,12
오지,12
우,12
우리는,12
워어어어어,12
이별,12
잃은,12
있고,12
정도만,12
조심,12
착한,12
처음,12
타,12
파도,12
하늘에,12
휘몰아쳐,12
12,11
à,11
alone,11
bomb,11
break,11
bwa,11
clear,11
crash,11
double,11
far,11
first,11
follow,11
geon,11
hello,11
hurry,11
i've,11
jaemitget,11
left,11
lie,11
looking,11
maybe,11
mmm,11
modu,11
music,11
nege,11
room,11
summer,11
thinking,11
till,11
tto,11
ui,11
uri,11
what's,11
가사,11
거짓말을,11
겁이,11
길,11
남지,11
내일이,11
눈치,11
느껴져,11
돋는,11
되어,11
때마다,11
뚜루뚜뚜,11
마음에,11
말로,11
말하지,11
맞춰,11
모두가,11
붕붕,11
사라지지,11
사랑은,11
사랑해,11
사이,11
생각나,11
수밖에,11
술잔,11
시,11
아는,11
아니면,11
아름다워,11
않고,11
어두운,11
어서,11
언젠가,11
없소,11
움직여,11
원한,11
위해서,11
있어도,11
잊을,11
자지,11
잠깐,11
재밌겠,11
저리,11
적,11
조금은,11
쫙쫙,11
척,11
큰,11
타오르게,11
ana,10
bang,10
beep,10
bogo,10
bringing,10
change,10
comme,10
cry,10
desire,10
die,10
dollar,10
dun,10
everybody,10
g,10
game,10
geo,10
gipi,10
hamkke,10
hi,10
isseo,10
jian,10
killer,10
lala,10
laughter,10
matter,10
mean,10
naui,10
neoui,10
nun,10
once,10
power,10
sing,10
smile,10
soda,10
somebody,10
soul,10
stars,10
sunshine,10
superhuman,10
uhh,10
we've,10
welcome,10
whisper,10
whoo,10
가지,10
것이,10
꿔,10
너도,10
너라는,10
노래가,10
돈,10
듣고,10
딴,10
마주,10
모르잖아요,10
모습이,10
목소리,10
물,10
뭐라,10
미안해,10
바다,10
바라고,10
발을,10
밤은,10
볼래,10
불을,10
불장난,10
빈,10
상처,10
선을,10
세상에,10
손에,10
안녕,10
안아줘,10
안에서,10
어느새,10
을,10
이름,10
있지,10
잠이라도,10
조금씩,10
줄게,10
줄래,10
지금처럼,10
지나,10
차에서,10
처럼,10
천천히,10
했던,10
혼잣말뿐이야,10
홀로,10
一點,10
我的,10
4,9
afraid,9
answer,9
anymore,9
around,9
comes,9
dum,9
else,9
end,9
eopsi,9
freaky,9
free,9
gyeote,9
hal,9
he,9
icy,9
idaero,9
jogeum,9
jom,9
lot,9
made,9
mal,9
mankeum,9
mm,9
moon,9
moonlight,9
naleul,9
nega,9
neoman,9
noise,9
oneul,9
oui,9
pick,9
quickly,9
saenggakae,9
says,9
simon,9
someone,9
stand,9
stupid,9
them,9
tout,9
uli,9
uril,9
who's,9
yuan,9
가끔씩,9
감아,9
감정,9
걔야,9
거짓말,9
곳,9
그대는,9
그댈,9
그래도,9
그럼,9
그려,9
까만,9
끝은,9
넘어,9
누구보다,9
눈부셔,9
눈빛으로,9
느끼는,9
다음,9
달이,9
닿는,9
대한,9
되고,9
두근두근,9
들었다,9
따라와,9
때론,9
땐,9
떠나,9
똑똑,9
마음은,9
만든,9
만들어,9
말려,9
맡겨,9
무대,9
물들여,9
바라는,9
바라보고,9
바람이,9
버려,9
번이어야지,9
보니,9
보이지,9
본다,9
빛날,9
빠져들어,9
빠진,9
뻔한,9
뻗어,9
뿐,9
사랑이란,9
상상,9
생각에,9
서,9
